DCTPepD_ID,ClinicalTrials.gov_Identifier,Title,Condition_or_disease,Phase,Purpose
DCTPepD0021,NCT05143229,Phase I Trial Of Alpelisib Plus Sacituzumab Govitecan In Patients With Metastatic Or Locally Recurrent HER2-Negative Breast Cancer,Breast Cancer,Phase 1,Treatment
DCTPepD0021,NCT02058381,A Phase Ib Dose De-escalation Study of the Combination of Tamoxifen Plus Goserelin Acetate With Alpelisib (BYL719) or Buparlisib (BKM120) in Premenopausal Patients With Hormone Receptor-positive/HER2-negative Locally Advanced or Metastatic Breast Cancer,Pre-menopausal Breast Cancer; PI3K Pathway Inhibition,Phase 1,Treatment
DCTPepD0021,NCT04524000,"A Phase II Open-label, 2-Part, Multi-center Study of BYL719 (Alpelisib) in Combination With Fulvestrant for Men and Postmenopausal Women With PIK3CA Mutation Hormone Receptor (HR) Positive, HER2-negative, Advanced Breast Cancer Which Progressed on or After Aromatase Inhibitor (AI) Treatment in Japan",Advanced Breast Cancer,Phase 2,Treatment
DCTPepD0021,NCT04753203,"A Phase lb/ll, Open Label, Single Arm Study to Assess Efficacy and Safety of Alpelisib and Capecitabine in Patients With PIK3CA Mutant Metastatic Colorectal Cancer Who Failed Two Prior Standard Chemotherapies",Metastatic Colorectal Cancer; PIK3CA Gene Mutation,Phase 1/2,Treatment
DCTPepD0021,NCT04526470,Phase IB/II Study of Alpelisib in Combination With Paclitaxel in Patients With PIK3CA-altered Metastatic/Recurrent Gastric Cancer,Solid Tumor; Stomach Cancer,Phase 1/2,Treatment
DCTPepD0022,NCT00285701,Early Detection of Pre-malignant and Malignant Conditions in the Colon by Means of Fluorescence Endoscopy Using Local and Oral Sensitisation With Hexaminolevulinate (HAL) - a Dose Finding Study,Colorectal Cancer,Phase 1/2,Diagnostic
DCTPepD0022,NCT01256424,A Randomized Phase II Dose-finding Study of Hexaminolevulinate (HAL) Photodynamic Therapy (PDT) in Patients With Low/Moderate-grade Cervical Intraepithelial Neoplasia (CIN1 or 2),Cervical Intraepithelial Neoplasia,Phase 2,Treatment
DCTPepD0022,NCT00785694,Recurrence of Bladder Cancer After Transurethral Resection With Hexvix,Bladder Cancer,Phase 4,Diagnostic
DCTPepD0022,NCT00412971,"A Randomized, Comparative Phase III, 2-center Study of Hexvix Fluorescence Cystoscopy and Standard Cystoscopy in Patients With Non-invasive Bladder Cancer",Bladder Cancer,Phase 3,Diagnostic
DCTPepD0022,NCT01303991,A Phase I Feasibility Study of Hexvix Photodynamic Therapy in Patients With Intermediate or High-risk Bladder Cancer,Intermediate or High-risk Bladder Cancer,Phase 1,Treatment
DCTPepD0023,NCT04176393,"A Phase 1, Multicenter, Single-Arm Study Evaluating Pharmacokinetic, Pharmacodynamic, Safety, and Clinical Efficacy of Orally Administered Ivosidenib in Chinese Subjects With Relapsed or Refractory Acute Myeloid Leukemia With an IDH1 Mutation",Relapsed or Refractory Acute Myeloid Leukemia,Phase 1,Treatment
DCTPepD0023,NCT03564821,A Phase 1 Study of IDH1 Inhibition Using Ivosidenib as Maintenance Therapy for IDH1-mutant Myeloid Neoplasms Following Allogeneic Stem Cell Transplantation,IDH1 Mutation Myeloid Neoplasms,Phase 1,Treatment
DCTPepD0023,NCT04056910,Phase II Study of IDH1 Inhibitor Ivosidenib and Nivolumab in IDH1 Mutant Gliomas and Advanced Solid Tumors,Advanced Solid Tumor; IDH1 Mutation; Glioma,Phase 2,Treatment
DCTPepD0023,NCT02073994,"A Phase 1, Multicenter, Open-Label, Dose-Escalation and Expansion, Safety, Pharmacokinetic, Pharmacodynamic, and Clinical Activity Study of Orally Administered AG-120 in Subjects With Advanced Solid Tumors, Including Glioma, With an IDH1 Mutation",Cholangiocarcinoma; Chondrosarcoma; Glioma; Other Advanced Solid Tumors,Phase 1,Treatment
DCTPepD0023,NCT03245424,Expanded Access Program for Ivosidenib (AG-120) Monotherapy in Patients With Relapsed or Refractory Acute Myeloid Leukemia With an IDH1 Mutation,Acute Myeloid Leukemia; Relapsed Adult AML; Relapsed Pediatric AML,,Treatment
DCTPepD0024,NCT04620239,Multicenter Phase 3 Pivotal Study to Evaluate the Safety and Efficacy of TOOKAD (Padeliporfin) Vascular Targeted Photodynamic Therapy in the Treatment of Low Grade Upper Tract Urothelial Cancer,Transitional Cell Cancer of Renal Pelvis and Ureter,Phase 3,Treatment
DCTPepD0024,NCT03617003,Phase I Study of WST11 Phototherapy for Upper Tract Urothelial Carcinoma,Upper Tract Urothelial Carcinoma,Phase 1,Treatment
DCTPepD0024,NCT00975429,Vascular-Targeted Photodynamic Therapy Using WST11 in Patients With Localized Prostate Cancer,Prostate Cancer,Phase 2,Treatment
DCTPepD0024,NCT01573156,Vascular Targeted Photodynamic Therapy With WST11 for T1a Renal Tumours. PHASE IIa Histological Follow up Trial,Renal Cancer,Phase 1/2,Treatment
DCTPepD0024,NCT03133650,A Phase I Trial of Vascular-Targeted Photodynamic Therapy in Esophagogastric Cancer Patients With Moderate to Severe Dysphagia,Esophagogastric Cancer; Moderate to Severe Dysphagia,Phase 1,Treatment
DCTPepD0025,NCT03955042,Pilot Study of Pemetrexed for the Treatment of Chordoma,Chordoma,Phase 1,Treatment
DCTPepD0025,NCT05209620,"A Single Arm, Phase II Clinical Trial of Orelabrutinib Combined With Pemetrexed in the Treatment for Patients With Relapsed/Refractory Central Nervous System Lymphoma",Central Nervous System Lymphoma,Phase 2,Treatment
DCTPepD0025,NCT02588781,Pemetrexed Alone as Salvage Treatment in Metastatic Colorectal Cancer Patients Who Were Failed After Standard Chemotherapy: A Phase II Single Arm Prospective Study,Colorectal Cancer,Phase 2,Treatment
DCTPepD0025,NCT03023319,Phase I Study of the Non-receptor Kinase Inhibitor Bosutinib in Combination With Pemetrexed in Patients With Selected Metastatic Solid Tumors,"Carcinoma, Non-Small-Cell Lung; Mesothelioma; Bladder Cancer; Ovarian Cancer; Peritoneal Cancer; Thymoma; Thymus Cancer; Uterine Cervical Cancer",Phase 1,Treatment
DCTPepD0025,NCT00712062,Pilot Study to Determine Therapeutic Response of Pemetrexed (Alimta) in Recurrent or Progressive Primary Central Nervous System Lymphoma (PCNSL) by Establishing the Radiographic Response Rate Using Modified Macdonald Criteria,Primary Central Nervous System Lymphoma,Phase 2,Treatment
DCTPepD0026,NCT02594267,"A Phase 1, Dose-Finding Study of Folotyn® (Pralatrexate Injection) Plus Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (CHOP) in Patients With Peripheral T-Cell Lymphoma (PTCL)",Peripheral T-Cell Lymphoma (PTCL),Phase 1,Treatment
DCTPepD0026,NCT00554827,"A Phase 1, Open-label Study of Pralatrexate With Vitamin B12 and Folic Acid Supplementation in Patients With Relapsed or Refractory Cutaneous T-cell Lymphoma",Cutaneous T-cell Lymphoma,Phase 1,Treatment
DCTPepD0026,NCT01532011,A Phase I Dose-Escalation Study of Erlotinib in Combination With Pralatrexate in Subjects With Advanced Cancer,Advanced Cancers; Solid Tumors,Phase 1,Treatment
DCTPepD0026,NCT01183065,A Multi-Institution Phase II Study of Pralatrexate With Vitamin B12 and Folic Acid Supplementation for Previously Treated Recurrent or Metastatic Head and Neck Squamous Cell Cancer (HNSCC),Head and Neck Cancer,Phase 2,Treatment
DCTPepD0026,NCT00606502,"A Randomized, Phase 2b, Multi-center Study of Pralatrexate Versus Erlotinib in Patients With Stage IIIB/IV Non-small Cell Lung Cancer After Failure of at Least 1 Prior Platinum-based Treatment",Non-small Cell Lung Cancer,Phase 2,Treatment
DCTPepD0027,NCT03770000,"An Open Label, Phase I/II Study to Evaluate the Safety and Efficacy of Tenalisib (RP6530), a Novel PI3K δ/γ Dual Inhibitor Given in Combination With a Histone Deacetylase (HDAC) Inhibitor, Romidepsin in Adult Patients With Relapsed/Refractory T-cell Lymphoma",T Cell Lymphoma,Phase 1/2,Treatment
DCTPepD0027,NCT01537744,"Phase I Trial of Oral 5-azacitidine With Romidepsin in Advanced Solid Tumors, With an Expansion Cohort in Virally Mediated Cancers and Liposarcoma",Solid Tumors; Virally Mediated Cancers and Liposarcoma,Phase 1,Treatment
DCTPepD0027,NCT01353664,"An Open Label, Single-Arm Rollover Study for Subjects Who Participated In Other Romidepsin Protocols",Lymphoma; Cancer,Phase 2,Treatment
DCTPepD0027,NCT01913119,A Pilot Study of Romidepsin in Relapsed or Refractory Extranodal NK/T-cell,Histologically Proven Extranodal NKTcell Lymphoma,Early Phase 1,Treatment
DCTPepD0027,NCT03355768,Randomized Study of Romidepsin Versus the Combination of Romidepsin Plus Pralatrexate in Patients With Relapsed or Refractory Peripheral T-cell Lymphoma (PTCL),"Lymphoma, T-Cell, Peripheral",Phase 3,Other
DCTPepD0028,NCT05113537,Phase I/II Study of CDK4/6 Inhibition With Abemaciclib to Upregulate PSMA Expression Prior to 177Lu-PSMA-617 Treatment in Patients With Metastatic Castrate Resistant Prostate Cancer (mCRPC) Previously Treated With Novel Hormonal Agents and Chemotherapy,Castration-Resistant Prostate Carcinoma; Metastatic Prostate Adenocarcinoma; Stage IV Prostate Cancer AJCC v8; Stage IVA Prostate Cancer AJCC v8; Stage IVB Prostate Cancer AJCC v8; Metastatic Castration-resistant Prostate Carcinoma; Metastatic Castration-resistant Prostate Cancer,Phase 1/2,Treatment
DCTPepD0028,NCT05658003,"An Open-label, Multi-center, Randomized, Phase II Study Evaluating [177Lu]Lu-PSMA-617 vs. a Change of Androgen Receptor-directed Therapy in the Treatment of Taxane Naive Chinese Male Patients With Progressive Metastatic Castrate Resistant Prostate Cancer",Metastatic Castration-Resistant Prostate Cancer (mCRPC),Phase 2,Treatment
DCTPepD0029,NCT03083613,Phase II Trial of Raltitrexed and Paclitaxel as Second-line Chemotherapy for Patients With Unresectable or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma,Gastric Cancer; Gastroesophageal Junction Adenocarcinoma,Phase 2,Treatment
DCTPepD0029,NCT00004254,Phase II Study on Tomusex in Malignant Mesothelioma,Malignant Mesothelioma,Phase 2,Treatment
DCTPepD0029,NCT05231382,"A Prospective, Multicenter, Phase III Clinical Study Comparing Continuous Hepatic Arterial Infusion of Raltetrexed With Oxaliplatin(SALOX) Versus FOLFOX in Advanced Hepatocellular Carcinoma",Hepatocellular Carcinoma,Phase 3,Treatment
DCTPepD0029,NCT02562599,Study Of Induction Chemotherapy Followed by Concurrent Chemoradiotherapy With Raltitrexed-Cisplatin for Patients With Locally Advanced Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,Phase 2,Treatment
DCTPepD0029,NCT03196843,Radiotherapy Combine With Raltitrexed Versus Radiotherapy Alone in Older Patients With Head and Neck Squamous Cell Carcinoma: a Prospective Randomized Controlled Trial,Head and Neck Squamous Cell Carcinoma,Phase 4,Treatment
DCTPepD0030,NCT00421811,"An Open-Label, Multicenter, Phase 1/2 Dose Escalation Study to Evaluate Safety, Tolerability and Anti-tumor Activity of Systemic ADH-1 in Combination With Normothermic Isolated Limb Infusion of Melphalan in Subjects With Locally Advanced In-Transit Malignant Melanoma (Adherex Protocol Number AHX-01-007).",Neoplasms,Phase 1/2,Treatment
DCTPepD0030,NCT00265057,"Dose Finding, Safety, Pharmacokinetic and Pharmacodynamic Study of the Vascular Targeting Agent Exherin™ (ADH-1) Administered Once Weekly in 3 Week Cycles by Intravenous Infusion in Patients With N-Cadherin Expressing, Incurable, Solid Tumors (Adherex Protocol Number AHX-01-004)",Neoplasms,Phase 1/2,Treatment
DCTPepD0030,NCT00264433,"An Open-Label Phase 2a Study in Subjects With N-Cadherin Positive, Advanced or Recurrent Solid Tumors to Investigate the Safety and Efficacy of ADH-1 Administered Intravenously as a Single Agent (Adherex Protocol Number AHX-01-201)",Neoplasms,Phase 2,Treatment
DCTPepD0030,NCT00390676,"A Phase 1, Multicenter, Dose-Escalation Study to Investigate the Safety and Tolerability of ADH-1 in Combination With 1) Carboplatin or 2) Docetaxel or 3) Capecitabine in Subjects With N-Cadherin Positive, Advanced Solid Tumors (Adherex Protocol Number AHX-01-006)",Neoplasms,Phase 1,Treatment
DCTPepD0030,NCT00225550,"Dose Finding, Safety, Pharmacokinetic and Pharmacodynamic Study of the Vascular Targeting Agent Exherin™ (ADH-1) Administered Once Daily for 5 Consecutive Days by Intravenous Infusion in Subjects With N-Cadherin Expressing, Incurable, Solid Tumors (Adherex Protocol Number AHX 01 003)",Neoplasms,Phase 1/2,Treatment
DCTPepD0031,NCT00131651,"A Dose-Ranging, Phase II, Open Label Study of ATN 161 in Advanced Renal Cell Cancer","Carcinoma, Renal Cell",Phase 2,Treatment
DCTPepD0031,NCT00352313,A Phase I/II Study of ATN-161 and Carboplatin in Adult Patients With Recurrent Intracranial Malignant Glioma,Brain and Central Nervous System Tumors,Phase 1/2,Treatment
DCTPepD0032,NCT01148108,"Phase 2 Study of Canfosfamide HCl for Injection (Telcyta®, TLK286)in Refractory or Relapsed Mantle Cell Lymphoma (MCL), Diffuse Large B Cell Lymphoma (DLBCL) and Multiple Myeloma (MM)",Mantle Cell Lymphoma; B Cell Lymphoma; Multiple Myeloma,Phase 2,Treatment
DCTPepD0032,NCT00022347,A Phase II Study of TLK 286 in Platinum Resistant Advanced Epithelial Ovarian Cancer,Fallopian Tube Cancer; Ovarian Cancer; Primary Peritoneal Cavity Cancer,Phase 2,Treatment
DCTPepD0032,NCT00036920,Phase II Study Of TLK286 For The Treatment Of Advanced Non-Small Cell Lung Cancer,Lung Cancer,Phase 2,Treatment
DCTPepD0032,NCT00350948,Phase 3 Randomized Study of TLK286 (Telcyta®) in Combination With Liposomal Doxorubicin (Doxil/Caelyx)Versus Liposomal Doxorubicin (Doxil/Caelyx) as Second-Line Therapy in Platinum Refractory or Resistant Ovarian Cancer (ASSIST-5),Ovarian Neoplasms,Phase 3,Treatment
DCTPepD0033,NCT03812874,Phase I/II Study of PTX-9908 Injection as an Inhibitor of Cancer Progression in Patients With Non-resectable Hepatocellular Carcinoma Following Transarterial Chemoembolization Treatment,"Carcinoma, Hepatocellular",Phase 1/2,Treatment
DCTPepD0034,NCT01139359,A Phase I Dose Escalation Study of Darinaparsin in Combination With CHOP in Previously Untreated Patients With Lymphomas Who Are Scheduled to Receive CHOP Alone,Lymphoma,Phase 1,Treatment
DCTPepD0034,NCT01139346,Phase I Study of Oral Darinaparsin in Advanced Solid Tumors,Advanced Solid Tumors,Phase 1,Treatment
DCTPepD0034,NCT00421213,Phase II Study of ZIO-101 in Advanced Blood and Bone Marrow Cancers,Hematologic Neoplasms; Bone Marrow Neoplasms; Non-Hodgkin's Lymphoma,Phase 2,Treatment
DCTPepD0034,NCT00423306,A Phase-II Trial of ZIO 101 in Advanced Hepatocellular Carcinoma,Hepatocellular Carcinoma,Phase 2,Treatment
DCTPepD0034,NCT00509782,Phase I Trial of ZIO-101 in Patients With Solid Tumors,Solid Tumors,Phase 1,Treatment
DCTPepD0035,NCT00003677,Phase II Study of Dolastatin 10 (NSC# 376128) Administered Intravenously Every 21 Days to Patients With Metastatic Pancreatic Adenocarcinoma,Pancreatic Cancer,Phase 2,Treatment
DCTPepD0035,NCT00003778,Phase II Trial of Dolastatin-10 in Patients With Previously Untreated Recurrent/Metastatic Sarcoma,Ovarian Cancer; Sarcoma,Phase 2,Treatment
DCTPepD0035,NCT00003557,A Phase II Trial of Dolastatin-10 (NSC 376128) Administered as an IV Bolus Every 3 Weeks in Patients With Hepatobiliary Cancer,Extrahepatic Bile Duct Cancer; Gallbladder Cancer; Liver Cancer,Phase 2,Treatment
DCTPepD0035,NCT00003914,Phase II Study of Dolastatin-10 in Patients With Advanced Renal Cell Carcinoma,Kidney Cancer,Phase 2,Treatment
DCTPepD0035,NCT00003693,"Phase I Study of Dolastatin-10 in Acute Leukemias, Myelodysplastic Syndromes and Chronic Myeloid Leukemia in Blast Phase",Leukemia; Myelodysplastic Syndromes,Phase 1,Treatment
DCTPepD0036,NCT01994369,A Pilot & Feasibility Study of the Imaging Potential of EC17 in Subjects Undergoing Surgery Presenting Breast Cancer,Resectable Breast Cancer,Phase 1,Diagnostic
DCTPepD0036,NCT02000778,A Pilot & Feasibility Study of the Imaging Potential of EC17 in Subjects Undergoing Intraoperative Detection of Occult Ovarian Carcinoma,Ovarian Cancer,Phase 1,Diagnostic
DCTPepD0036,NCT01778933,A Pilot and Feasibility Study Of The Imaging Potential Of EC17 In Subjects Undergoing Surgery Presenting With Renal Nodules,Renal Cell Carcinoma,Phase 1,Diagnostic
DCTPepD0036,NCT01778920,Intraoperative Imaging of Pulmonary Adenocarcinoma,Lung and Pleural Malignancies; Neoplasms; Nodules; Adenocarcinoma,Phase 1,Diagnostic
DCTPepD0036,NCT00485563,A Phase II Study of EC17 (Folate-hapten Conjugate) in Patients With Progressive Metastatic Renal Cell Carcinoma,Renal Cell Carcinoma,Phase 1,Treatment
DCTPepD0037,NCT02020291,"Phase I Dose Escalating Study to Evaluate the Safety, Tolerability, Anti-Tumour Activity and Pharmacokinetic and Pharmacodynamic Profiles of Foxy-5 in Patients With Metastatic Breast, Colon or Prostate Cancer",Metastatic Breast Cancer; Colorectal Cancer; Prostate Cancer,Phase 1,Treatment
DCTPepD0037,NCT02655952,"Phase Ib Dose Escalating Study to Evaluate the Safety, Tolerability and Pharmacodynamic Response of Foxy-5 in Patients With Metastatic Breast-, Colon- or Prostate Cancer",Metastatic Breast Cancer; Metastatic Colon Cancer; Metastatic Prostate Cancer,Phase 1,Treatment
DCTPepD0037,NCT03883802,"A Randomized, Multicentre, Open-Label Controlled Phase II Trial of Foxy-5 as Neo-Adjuvant Therapy in Subjects With Wnt-5a Low Colon Cancer",Colon Cancer,Phase 2,Treatment
DCTPepD0038,NCT01968915,A Phase I Study of Oral LCL161 in Japanese Adult Patients With Advanced Solid Tumors,Neoplasms,Phase 1,Treatment
DCTPepD0038,NCT01955434,Phase II Study of LCL161 Alone and in Combination With Cyclophosphamide in Patients With Relapsed or Refractory Multiple Myeloma,Recurrent Plasma Cell Myeloma; Refractory Plasma Cell Myeloma,Phase 2,Treatment
DCTPepD0038,NCT02098161,"Open Label Phase 2 Single Agent Study of LCL-161 in Patients With Primary Myelofibrosis (PMF), Post-Polycythemia Vera Myelofibrosis (Post-PV MF), or Post-Essential Thrombocytosis Myelofibrosis (Post-ET MF)","Polycythemia Vera, Post-Polycythemic Myelofibrosis Phase; Primary Myelofibrosis; Secondary Myelofibrosis",Phase 2,Treatment
DCTPepD0038,NCT01934634,"Phase I Trial of the Proapoptotic Agonist, LCL161, and Gemcitabine Plus Nab-Paclitaxel in Patients With Metastatic Pancreatic Cancer",Metastatic Pancreatic Cancer,Phase 1,Treatment
DCTPepD0038,NCT01240655,A Phase Ib Study of LCL161 in Combination With Weekly Paclitaxel in Adult Patients With Advanced Solid Tumors,Solid Tumors,Phase 1,Treatment
DCTPepD0039,NCT00290953,"A Double Blind, Randomized, Phase II-III Maintenance Study of SR48692 Versus Placebo in Patients With Extensive Stage Small Cell Lung Cancer Following a First Line Chemotherapy With Cisplatin + Etoposide",Lung Cancer; Pulmonary Neoplasms; Small Cell Lung Cancer,Phase 2/3,Treatment
DCTPepD0040,NCT00003773,Phase I Study of Escalating Doses of IM-862 in Patients With Ovarian Cancer,Ovarian Cancer,Phase 1,Treatment
DCTPepD0040,NCT00006037,Phase II Randomized Placebo-Controlled Double-Blinded Study With 5-FU vs. 5-FU With IM862 With Cross-Over to CPT-11 vs. CPT-11 With IM862,Colorectal Cancer,Phase 2,Treatment
DCTPepD0040,NCT00017303,A Phase II Trial Of IM862 Combined With Paclitaxel And Carboplatin In Newly Diagnosed Advanced Epithelial Ovarian Or Primary Peritoneal Carcinoma Followed By IM862 Consolidation Therapy,Ovarian Cancer; Primary Peritoneal Cavity Cancer,Phase 2,Treatment
DCTPepD0041,NCT00695851,"A Phase I Randomized Dose-Seeking Trial of PCK3145 in Asymptomatic, Castrate Metastatic Prostate Cancer Patients.",Prostate Cancer,Phase 1,Treatment
DCTPepD0042,NCT01013324,A Phase 2 Study of XL147 (SAR245408) in Subjects With Advanced or Recurrent Endometrial Carcinoma,Endometrial Cancer; Endometrial Neoplasms,Phase 2,Treatment
DCTPepD0042,NCT01943838,A Phase 1 Dose-escalation Study of the Safety and Pharmacokinetics of a Tablet Formulation of SAR245408 Polymorph E Administered Once Daily to Subjects With Solid Tumors or Lymphoma,Neoplasm Malignant,Phase 1,Treatment
DCTPepD0042,NCT00486135,A Phase 1 Dose-Escalation Study of the Safety and Pharmacokinetics of XL147 Administered Orally Daily to Subjects With Solid Tumors or Lymphoma,Cancer; Lymphoma,Phase 1,Treatment
DCTPepD0042,NCT01042925,A Phase 1/2 Study of XL147 (SAR245408) Administered in Combination With Trastuzumab or Paclitaxel and Trastuzumab in Subjects With Metastatic Breast Cancer Who Have Progressed on a Previous Trastuzumab-Based Regimen,Breast Cancer; Breast Neoplasms,Phase 1/2,Treatment
DCTPepD0042,NCT00692640,A Phase 1 Dose-Escalation Study of XL147 (SAR245408) in Combination With Erlotinib in Subjects With Solid Tumors,Cancer; Non-small Cell Lung Cancer,Phase 1,Treatment
DCTPepD0043,NCT00040755,"Randomized Phase II Trial of BMS-275291 (NSC 713763, IND 62573) in Hormone Refractory Prostate Cancer",Adenocarcinoma of the Prostate; Bone Metastases; Hormone-resistant Prostate Cancer; Recurrent Prostate Cancer; Stage IV Prostate Cancer,Phase 2,Treatment
DCTPepD0043,NCT00039104,"A Phase II, Open-Label, Randomized Trial of Zoledronic Acid (Zometa™) and BMS-275291 (NSC#713763) in Patients With Hormone Refractory Prostate Cancer",Adenocarcinoma of the Prostate; Recurrent Prostate Cancer; Stage IV Prostate Cancer,Phase 2,Treatment
DCTPepD0043,NCT00024024,A Phase I-II Trial Of BMS-275291 In Patients With HIV-Related Kaposi's Sarcoma,Sarcoma,Phase 1/2,Treatment
DCTPepD0043,NCT00006229,A Phase II/III Double Blind Randomized Trial of BMS-275291 vs. Placebo in Patients Receiving Paclitaxel/Carboplatin Chemotherapy for the Treatment of Advanced or Metastatic Non-small Cell Lung Cancer,Lung Cancer,Phase 2/3,Treatment
DCTPepD0044,NCT03784677,A Phase I Study of SOR-C13 in Patients With Advanced Solid Tumors,Advanced Malignant Solid Neoplasm; Refractory Malignant Solid Neoplasm; Refractory Ovarian Carcinoma; Refractory Pancreatic Carcinoma; Stage II Pancreatic Cancer AJCC v8; Stage IIA Pancreatic Cancer AJCC v8; other various stages of Pancreatic Cancer and Ovarian Carcinoma,Phase 1,Treatment
DCTPepD0044,NCT01578564,"Phase I, Open-label, Dose Escalation Study to Assess Safety and Tolerability of SOR-C13 in Subjects With Advanced Solid Tumors Commonly Known to Express the TRPV6 Ion Channel",Cancer,Phase 1,Treatment
DCTPepD0045,NCT00078390,"A Phase I/II Study of the Safety, Pharmacokinetic Interaction and Efficacy of S-3304 in Combination With Standard Therapy in Patients With Locally Advanced Non-small Cell Lung Cancer.",Non Small Cell Lung Cancer; Lung Cancer; Stage IIIA Non Small Cell Lung Cancer; Stage IIIB Non Small Cell Lung Cancer,Phase 1/2,Treatment
DCTPepD0045,NCT00033566,A Phase I Study of S-3304 in Patients With Solid Tumors,"Unspecified Adult Solid Tumor, Protocol Specific",Phase 1,Treatment
DCTPepD0045,NCT00033215,A Phase 1 Study of S-3304 in Patients With Solid Tumors,Solid Tumors,Phase 1,Treatment
DCTPepD0046,NCT00080080,Phase 2 Study of Talabostat and Docetaxel in Advanced Non-Small Cell Lung Cancer,Lung Cancer,Phase 2,Treatment
DCTPepD0046,NCT04171219,"A Phase 2 Basket Study of BXCL701, a Small Molecule Inhibitor of Dipeptidyl Peptidases (DPP), Administered in Combination With Pembrolizumab in Patients With Advanced Solid Cancers",Advanced Malignant Solid Neoplasm; Recurrent Malignant Solid Neoplasm,Phase 2,Treatment
DCTPepD0046,NCT00489710,A Phase II Study of Talabostat in Patients With Metastatic Renal Cell Carcinoma,Kidney Cancer,Phase 2,Treatment
DCTPepD0046,NCT04123574,"A Pilot Proof of Mechanism Study of BXCL701, a Small Molecule Inhibitor of Dipeptidyl Peptidases (DPPs), in Patients With Pancreatic Cancer","Cancer of Pancreas; Cancer of the Pancreas; Neoplasms, Pancreatic; Pancreas Cancer; Pancreatic Cancer",Early Phase 1,Treatment
DCTPepD0046,NCT00290017,"A Phase 3, Randomized, Double-Blind, Multicenter Study of Talabostat and Pemetrexed vs. Pemetrexed and Placebo in Patients With Advanced (Stage IIIB/IV) Non-Small Cell Lung Cancer (NSCLC) After Failure of Platinum-Based Chemotherapy","Carcinoma, Non-Small-Cell Lung; Lung Cancer; Neoplasms, Lung; Neoplasms, Pulmonary",Phase 3,Treatment
